Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,23,TOR,12,0,245,36,92,.391,5,28,.179,31,64,.484,.418,28,33,.848,24,60,84,16,2,7,15,19,105
Steven Adams,C,29,MEM,22,22,596,77,129,.597,0,1,.000,77,128,.602,.597,19,62,.306,110,129,239,50,18,22,48,55,173
Bam Adebayo,C,25,MIA,22,22,772,176,335,.525,1,9,.111,175,326,.537,.527,103,118,.873,51,146,197,73,22,17,67,73,456
Ochai Agbaji,SG,22,UTA,8,0,72,10,21,.476,1,7,.143,9,14,.643,.500,4,7,.571,4,6,10,1,1,0,0,8,25
Santi Aldama,PF,22,MEM,23,16,581,83,180,.461,29,86,.337,54,94,.574,.542,27,38,.711,35,100,135,31,19,24,14,61,222
Nickeil Alexander-Walker,SG,24,UTA,15,0,158,22,56,.393,9,28,.321,13,28,.464,.473,8,9,.889,3,11,14,22,8,4,11,21,61
Grayson Allen,SG,27,MIL,20,18,540,67,147,.456,40,92,.435,27,55,.491,.592,43,47,.915,17,53,70,51,16,5,25,31,217
Jarrett Allen,C,24,CLE,17,17,544,94,160,.588,0,2,.000,94,158,.595,.588,41,52,.788,50,133,183,22,9,21,29,38,229
Jose Alvarado,PG,24,NOP,23,6,487,85,180,.472,38,94,.404,47,86,.547,.578,21,25,.840,10,45,55,77,27,4,31,51,229
Kyle Anderson,PF,29,MIN,18,3,398,42,85,.494,9,21,.429,33,64,.516,.547,23,28,.821,13,60,73,52,18,17,25,24,116
Giannis Antetokounmpo,PF,28,MIL,19,19,626,223,410,.544,15,63,.238,208,347,.599,.562,145,234,.620,39,176,215,104,16,20,70,65,606
Thanasis Antetokounmpo,SF,30,MIL,11,0,43,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,2,9,11,2,0,2,4,3,2
Cole Anthony,PG,22,ORL,8,3,219,36,90,.400,11,32,.344,25,58,.431,.461,21,25,.840,4,32,36,28,10,4,11,27,104
OG Anunoby,SF,25,TOR,24,24,876,174,361,.482,38,111,.342,136,250,.544,.535,72,87,.828,35,103,138,52,56,21,63,72,458
Ryan Arcidiacono,PG,28,NYK,6,0,16,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,2,2,2,2,0,1,2,0
Deni Avdija,SF,22,WAS,24,21,567,64,163,.393,18,68,.265,46,95,.484,.448,27,36,.750,22,99,121,55,17,17,33,74,173
Deandre Ayton,C,24,PHO,22,22,639,163,262,.622,4,13,.308,159,249,.639,.630,46,63,.730,63,148,211,47,11,19,42,64,376
Udoka Azubuike,C,23,UTA,9,0,35,7,8,.875,0,0,,7,8,.875,.875,2,6,.333,4,12,16,3,2,2,2,2,16
Marvin Bagley III,PF,23,DET,12,11,294,63,111,.568,7,19,.368,56,92,.609,.599,22,27,.815,28,54,82,8,10,8,15,29,155
Patrick Baldwin Jr.,SF,20,GSW,4,0,24,4,10,.400,2,8,.250,2,2,1.000,.500,0,0,,0,6,6,0,3,0,1,0,10
LaMelo Ball,PG,21,CHO,3,3,98,22,53,.415,10,32,.313,12,21,.571,.509,4,5,.800,0,11,11,21,3,1,11,8,58
Mo Bamba,C,24,ORL,19,5,355,57,119,.479,20,56,.357,37,63,.587,.563,22,31,.710,22,64,86,22,5,15,17,42,156
Paolo Banchero,PF,20,ORL,18,18,619,132,294,.449,16,65,.246,116,229,.507,.476,111,152,.730,23,99,122,68,14,11,53,39,391
Desmond Bane,SG,24,MEM,12,12,403,99,213,.465,46,102,.451,53,111,.477,.573,52,57,.912,6,53,59,57,7,3,27,29,296
Dalano Banton,PG,23,TOR,18,2,193,40,95,.421,13,41,.317,27,54,.500,.489,14,16,.875,8,20,28,22,11,10,12,21,107
Dominick Barlow,SF,19,SAS,3,0,22,2,6,.333,0,3,.000,2,3,.667,.333,4,4,1.000,2,1,3,3,1,0,0,3,8
Harrison Barnes,PF,30,SAC,22,22,674,90,184,.489,22,73,.301,68,111,.613,.549,89,106,.840,23,97,120,41,19,3,27,31,291
Scottie Barnes,PF,21,TOR,21,20,695,124,274,.453,26,81,.321,98,193,.508,.500,30,45,.667,37,106,143,104,20,19,53,34,304
RJ Barrett,SG,22,NYK,24,24,802,153,377,.406,37,131,.282,116,246,.472,.455,98,126,.778,22,107,129,71,12,2,55,54,441
Will Barton,SG,32,WAS,24,0,531,65,181,.359,26,82,.317,39,99,.394,.431,21,24,.875,6,68,74,61,15,7,24,28,177
Charles Bassey,C,22,SAS,14,0,214,33,48,.688,2,6,.333,31,42,.738,.708,10,18,.556,29,55,84,20,6,15,19,34,78
Keita Bates-Diop,SF,27,SAS,22,8,398,69,132,.523,11,30,.367,58,102,.569,.564,25,30,.833,27,38,65,16,13,4,17,15,174
Nicolas Batum,PF,34,LAC,25,1,467,39,94,.415,27,71,.380,12,23,.522,.559,11,19,.579,17,83,100,32,14,19,18,50,116
Darius Bazley,PF,22,OKC,18,0,280,38,87,.437,9,25,.360,29,62,.468,.489,14,28,.500,19,51,70,18,10,23,12,20,99
Bradley Beal,SG,29,WAS,18,18,631,156,299,.522,31,88,.352,125,211,.592,.574,69,79,.873,15,52,67,97,21,11,51,34,412
Malik Beasley,SG,26,UTA,26,2,690,123,301,.409,81,210,.386,42,91,.462,.543,18,20,.900,17,83,100,40,25,4,24,34,345
MarJon Beauchamp,SF,22,MIL,15,6,232,30,78,.385,12,41,.293,18,37,.486,.462,7,10,.700,14,30,44,6,7,2,18,26,79
Dāvis Bertāns,PF,30,DAL,9,0,64,9,24,.375,8,19,.421,1,5,.200,.542,3,4,.750,1,4,5,4,0,0,2,13,29
Patrick Beverley,PG,34,LAL,17,17,453,22,80,.275,12,54,.222,10,26,.385,.350,15,19,.789,12,55,67,43,14,8,15,51,71
Saddiq Bey,SF,23,DET,21,17,632,97,240,.404,30,112,.268,67,128,.523,.467,82,93,.882,24,74,98,36,16,4,27,37,306
Khem Birch,C,30,TOR,13,0,91,12,20,.600,1,1,1.000,11,19,.579,.625,2,2,1.000,6,8,14,4,4,2,4,17,27
Goga Bitadze,C,23,IND,14,0,142,21,39,.538,2,10,.200,19,29,.655,.564,9,18,.500,16,18,34,14,6,8,10,27,53
Bismack Biyombo,C,30,PHO,20,2,243,28,52,.538,0,0,,28,52,.538,.538,8,20,.400,18,49,67,16,6,28,21,36,64
Buddy Boeheim,PG,23,DET,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Bogdan Bogdanović,SG,30,ATL,2,0,45,8,22,.364,6,16,.375,2,6,.333,.500,0,0,,0,5,5,2,1,0,5,1,22
Bojan Bogdanović,PF,33,DET,24,24,759,165,325,.508,57,136,.419,108,189,.571,.595,107,122,.877,12,76,88,59,12,0,55,43,494
Bol Bol,PF,23,ORL,25,20,666,128,213,.601,19,46,.413,109,167,.653,.646,37,48,.771,33,154,187,25,12,46,53,37,312
Leandro Bolmaro,SG,22,UTA,4,0,23,2,7,.286,0,2,.000,2,5,.400,.286,0,0,,1,0,1,3,2,1,3,4,4
Devin Booker,SG,26,PHO,24,24,859,244,500,.488,57,146,.390,187,354,.528,.545,136,156,.872,20,97,117,142,24,10,61,64,681
Brandon Boston Jr.,SG,21,LAC,7,0,59,15,35,.429,7,11,.636,8,24,.333,.529,4,6,.667,3,4,7,3,2,0,3,3,41
Chris Boucher,PF,30,TOR,20,0,459,78,171,.456,17,60,.283,61,111,.550,.506,51,71,.718,46,79,125,13,16,16,15,50,224
James Bouknight,SG,22,CHO,19,0,327,38,113,.336,14,59,.237,24,54,.444,.398,10,16,.625,5,40,45,26,9,4,18,28,100
Tony Bradley,C,25,CHI,6,0,15,2,4,.500,1,2,.500,1,2,.500,.625,2,2,1.000,1,6,7,0,1,0,0,0,7
Malaki Branham,SF,19,SAS,11,2,188,21,64,.328,8,35,.229,13,29,.448,.391,8,10,.800,2,16,18,20,2,2,11,14,58
Christian Braun,SG,21,DEN,21,0,267,23,57,.404,7,20,.350,16,37,.432,.465,7,13,.538,13,30,43,15,8,3,6,19,60
Mikal Bridges,SF,26,PHO,24,24,876,147,285,.516,42,94,.447,105,191,.550,.589,48,54,.889,27,98,125,80,26,23,27,53,384
Oshae Brissett,SF,24,IND,19,0,302,33,77,.429,17,47,.362,16,30,.533,.539,22,30,.733,14,41,55,11,14,4,9,22,105
Malcolm Brogdon,PG,30,BOS,20,0,465,96,197,.487,38,77,.494,58,120,.483,.584,48,56,.857,20,63,83,74,11,4,38,30,278
Dillon Brooks,SG,27,MEM,21,21,658,138,350,.394,46,138,.333,92,212,.434,.460,45,60,.750,17,63,80,61,20,2,36,67,367
Bruce Brown,PG,26,DEN,23,11,690,103,218,.472,31,78,.397,72,140,.514,.544,21,24,.875,23,80,103,104,25,11,43,56,258
Greg Brown III,PF,21,POR,7,0,50,7,15,.467,1,5,.200,6,10,.600,.500,2,8,.250,1,6,7,0,3,4,3,7,17
Jaylen Brown,SF,26,BOS,23,23,826,228,452,.504,55,157,.350,173,295,.586,.565,104,125,.832,22,141,163,84,22,10,71,63,615
Kendall Brown,SG,19,IND,5,0,35,4,7,.571,0,1,.000,4,6,.667,.571,1,2,.500,2,4,6,3,3,0,1,6,9
Moses Brown,C,23,LAC,17,0,101,25,38,.658,0,0,,25,38,.658,.658,20,39,.513,17,27,44,1,1,6,4,16,70
Troy Brown Jr.,SF,23,LAL,19,16,486,58,128,.453,21,60,.350,37,68,.544,.535,11,11,1.000,18,71,89,19,15,1,18,32,148
Jalen Brunson,PG,26,NYK,24,24,775,181,375,.483,34,100,.340,147,275,.535,.528,109,125,.872,11,71,82,150,24,5,42,59,505
Thomas Bryant,C,25,LAL,8,1,102,26,36,.722,1,4,.250,25,32,.781,.736,11,20,.550,7,28,35,5,0,5,2,12,64
Reggie Bullock,SF,31,DAL,22,18,603,35,117,.299,27,97,.278,8,20,.400,.415,10,15,.667,10,57,67,21,19,2,8,51,107
Alec Burks,SG,31,DET,12,0,245,50,117,.427,20,54,.370,30,63,.476,.513,47,58,.810,4,27,31,20,12,1,13,31,167
Jimmy Butler,SF,33,MIA,15,15,533,103,208,.495,12,34,.353,91,174,.523,.524,97,112,.866,33,74,107,90,25,4,30,24,315
John Butler,C,20,POR,4,0,15,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,1,1,2,1,0,1,0,0,2
Jamal Cain,SF,23,MIA,8,0,93,15,28,.536,1,6,.167,14,22,.636,.554,4,6,.667,7,12,19,5,5,0,2,10,35
Kentavious Caldwell-Pope,SG,29,DEN,22,22,686,85,185,.459,46,100,.460,39,85,.459,.584,25,32,.781,12,52,64,46,26,9,28,41,241
Facundo Campazzo,PG,31,DAL,8,0,52,3,13,.231,3,11,.273,0,2,.000,.346,1,2,.500,0,2,2,9,6,0,3,3,10
Vlatko Čančar,PF,25,DEN,15,0,191,30,64,.469,14,34,.412,16,30,.533,.578,6,7,.857,4,21,25,14,7,4,8,22,80
Clint Capela,C,28,ATL,22,22,614,116,189,.614,0,0,,116,189,.614,.614,23,41,.561,98,171,269,16,14,31,22,53,255
Vernon Carey Jr.,C,21,WAS,3,0,5,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,0,0,0,1,2,0
Jevon Carter,PG,27,MIL,23,21,622,74,172,.430,34,85,.400,40,87,.460,.529,16,19,.842,14,48,62,81,32,15,33,60,198
Wendell Carter Jr.,C,23,ORL,15,15,493,87,169,.515,18,52,.346,69,117,.590,.568,57,69,.826,32,104,136,49,8,8,39,48,249
Alex Caruso,PG,28,CHI,23,7,593,40,99,.404,20,56,.357,20,43,.465,.505,24,31,.774,9,54,63,85,33,18,32,53,124
Julian Champagnie,SF,21,PHI,2,0,7,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,1,0,0,0,0
Justin Champagnie,SF,21,TOR,2,0,9,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,1,2,3,0,0,0,0,1,6
Kennedy Chandler,PG,20,MEM,9,0,105,12,38,.316,2,11,.182,10,27,.370,.342,3,7,.429,2,11,13,21,6,3,8,5,29
Max Christie,SG,19,LAL,10,0,112,9,23,.391,7,16,.438,2,7,.286,.543,3,4,.750,1,21,22,5,3,0,2,5,28
Josh Christopher,SG,21,HOU,17,0,122,21,48,.438,3,14,.214,18,34,.529,.469,5,6,.833,5,14,19,10,5,1,12,12,50
Brandon Clarke,PF,26,MEM,24,2,461,91,151,.603,1,6,.167,90,145,.621,.606,37,51,.725,29,86,115,29,8,21,29,54,220
Jordan Clarkson,SG,30,UTA,26,26,841,185,428,.432,70,200,.350,115,228,.504,.514,72,87,.828,32,70,102,124,9,9,69,54,512
Nic Claxton,C,23,BRK,24,24,672,127,174,.730,0,1,.000,127,173,.734,.730,28,65,.431,64,147,211,30,17,52,32,72,282
Amir Coffey,SG,25,LAC,21,6,313,25,66,.379,4,18,.222,21,48,.438,.409,30,37,.811,9,15,24,27,5,2,10,27,84
John Collins,PF,25,ATL,22,22,693,103,213,.484,16,73,.219,87,140,.621,.521,49,58,.845,26,138,164,28,20,31,30,71,271
Zach Collins,PF,25,SAS,14,3,265,45,95,.474,10,35,.286,35,60,.583,.526,11,15,.733,24,51,75,38,9,14,28,49,111
Mike Conley,PG,35,UTA,17,17,497,58,148,.392,32,83,.386,26,65,.400,.500,26,34,.765,7,34,41,134,20,5,25,35,174
Pat Connaughton,SG,30,MIL,7,0,125,16,53,.302,10,39,.256,6,14,.429,.396,5,6,.833,3,18,21,4,5,0,1,4,47
Robert Covington,PF,32,LAC,15,0,234,26,68,.382,15,44,.341,11,24,.458,.493,14,16,.875,5,53,58,18,6,10,12,30,81
Torrey Craig,SF,32,PHO,21,13,496,62,131,.473,26,68,.382,36,63,.571,.573,10,13,.769,40,64,104,30,13,16,14,50,160
Jarrett Culver,SG,23,ATL,5,1,90,11,23,.478,1,7,.143,10,16,.625,.500,6,9,.667,5,20,25,5,5,1,5,10,29
Cade Cunningham,PG,21,DET,12,12,400,93,224,.415,17,61,.279,76,163,.466,.453,36,43,.837,12,62,74,72,10,7,39,34,239
